iter	Passed	Remaining
0	2	2401
1	3	1985
2	6	2039
3	8	2129
4	10	2032
5	12	2064
6	13	1969
7	15	1936
8	17	1952
9	19	1920
10	21	1949
11	23	1897
12	24	1886
13	26	1852
14	27	1799
15	30	1845
16	32	1904
17	35	1927
18	37	1947
19	39	1915
20	41	1954
21	43	1942
22	45	1952
23	48	1988
24	50	1975
25	52	1975
26	55	1994
27	58	2025
28	60	2027
29	62	2036
30	65	2062
31	68	2060
32	70	2065
33	72	2046
34	74	2062
35	77	2074
36	80	2096
37	82	2097
38	85	2103
39	88	2124
40	90	2118
41	92	2118
42	96	2143
43	98	2144
44	100	2142
45	102	2133
46	105	2146
47	108	2146
48	109	2125
49	111	2120
50	113	2111
51	114	2095
52	116	2086
53	119	2092
54	121	2082
55	123	2083
56	125	2077
57	128	2084
58	130	2073
59	131	2066
60	133	2048
61	135	2049
62	137	2041
63	138	2024
64	140	2022
65	143	2036
66	146	2039
67	149	2042
68	152	2056
69	155	2061
70	156	2046
71	158	2037
72	160	2041
73	162	2037
74	165	2044
75	168	2053
76	171	2051
77	172	2039
78	175	2043
79	176	2029
80	178	2028
81	179	2014
82	182	2019
83	185	2017
84	186	2006
85	187	1992
86	190	2001
87	193	2000
88	195	1998
89	197	2000
90	200	2000
91	202	1997
92	204	1998
93	207	2000
94	209	1999
95	211	1994
96	213	1985
97	215	1981
98	216	1970
99	218	1968
100	220	1963
101	222	1956
102	223	1950
103	226	1954
104	230	1963
105	231	1949
106	233	1945
107	235	1944
108	238	1948
109	240	1946
110	242	1943
111	244	1937
112	247	1941
113	249	1942
114	252	1944
115	255	1948
116	257	1946
117	260	1948
118	263	1948
119	264	1941
120	267	1941
121	270	1945
122	273	1947
123	276	1952
124	279	1954
125	281	1955
126	284	1958
127	287	1956
128	290	1959
129	293	1964
130	295	1959
131	297	1958
132	301	1962
133	305	1974
134	308	1978
135	312	1982
136	314	1984
137	319	1997
138	322	1996
139	325	1998
140	328	1999
141	331	2002
142	333	2001
143	350	2082
144	352	2075
145	354	2074
146	356	2071
147	358	2062
148	360	2057
149	365	2068
150	367	2068
151	370	2068
152	372	2063
153	375	2061
154	377	2059
155	380	2060
156	383	2058
157	386	2057
158	387	2049
159	390	2049
160	392	2044
161	394	2041
162	397	2041
163	400	2039
164	401	2031
165	403	2027
166	405	2024
167	407	2015
168	408	2007
169	409	2001
170	411	1995
171	413	1989
172	414	1981
173	415	1973
174	416	1965
175	418	1957
176	419	1951
177	421	1947
178	423	1940
179	424	1933
180	425	1925
181	428	1924
182	430	1919
183	431	1914
184	432	1906
185	433	1898
186	436	1897
187	438	1893
188	440	1890
189	442	1887
190	445	1885
191	446	1879
192	447	1872
193	449	1869
194	451	1862
195	453	1860
196	454	1854
197	456	1847
198	457	1839
199	459	1836
200	460	1832
201	462	1825
202	463	1818
203	464	1812
204	465	1805
205	466	1797
206	469	1797
207	470	1791
208	471	1784
209	472	1777
210	473	1772
211	476	1771
212	478	1767
213	479	1760
214	480	1754
215	483	1754
216	484	1750
217	486	1743
218	487	1737
219	488	1730
220	489	1724
221	491	1721
222	493	1719
223	495	1716
224	496	1710
225	498	1706
226	500	1703
227	501	1697
228	502	1691
229	503	1685
230	504	1680
231	507	1679
232	508	1673
233	509	1667
234	510	1662
235	511	1656
236	513	1652
237	515	1649
238	516	1644
239	517	1640
240	519	1634
241	520	1629
242	522	1628
243	524	1624
244	525	1619
245	526	1614
246	528	1609
247	529	1606
248	531	1603
249	532	1598
250	534	1593
251	535	1590
252	538	1590
253	540	1588
254	541	1582
255	542	1577
256	543	1572
257	545	1567
258	547	1566
259	548	1561
260	550	1557
261	552	1555
262	553	1552
263	555	1549
264	556	1544
265	557	1539
266	559	1534
267	560	1530
268	561	1526
269	563	1523
270	565	1520
271	567	1518
272	569	1516
273	571	1514
274	573	1512
275	575	1508
276	576	1505
277	578	1501
278	579	1497
279	580	1493
280	581	1488
281	582	1483
282	584	1480
283	586	1479
284	587	1474
285	588	1469
286	589	1465
287	591	1461
288	592	1458
289	594	1456
290	596	1452
291	597	1448
292	598	1444
293	599	1440
294	602	1439
295	603	1435
296	604	1430
297	606	1427
298	607	1423
299	609	1421
300	610	1418
301	611	1413
302	612	1409
303	613	1405
304	615	1401
305	617	1399
306	618	1396
307	619	1392
308	621	1388
309	622	1384
310	624	1384
311	625	1380
312	627	1376
313	628	1372
314	629	1368
315	630	1364
316	632	1363
317	634	1360
318	635	1357
319	636	1353
320	637	1349
321	639	1346
322	641	1344
323	643	1342
324	645	1339
325	646	1336
326	648	1334
327	650	1331
328	651	1328
329	652	1324
